tender_id,buyer_id,buyer_name,tender_title,category,sub_category,location,state,estimated_value_inr,procurement_method,award_criteria,publication_date,submission_deadline,technical_evaluation_date,financial_evaluation_date,award_date,contract_duration_days,status
T053,B05,State Health Infrastructure Development Agency,Highway Widening for State Health Infrastructure Development Agency at Shimla,Road Infrastructure,Highway Widening,Shimla,Himachal Pradesh,169871152,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-24 11:30:00,2023-04-23 04:30:00,2023-04-29,2023-05-04,2023-05-11,90,AWARDED
T054,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at Solan,Civil Construction,District Sports Stadium,Solan,Himachal Pradesh,83836528,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-27 11:30:00,2023-04-20 04:30:00,2023-04-28,2023-05-02,2023-05-11,540,AWARDED
T055,B07,Education Engineering Directorate,Sewage Treatment Plant for Education Engineering Directorate at Mandi,Water & Sanitation,Sewage Treatment Plant,Mandi,Himachal Pradesh,10549626,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-27 11:30:00,2023-04-19 04:30:00,2023-04-25,2023-05-02,2023-05-06,240,AWARDED
T056,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Dharamshala,Electrical & Energy,Smart Metering System,Dharamshala,Himachal Pradesh,34071529,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-28 11:30:00,2023-05-03 04:30:00,2023-05-11,2023-05-15,2023-05-20,540,AWARDED
T057,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at Chandigarh,Road Infrastructure,Rural Road Upgrade,Chandigarh,Himachal Pradesh,176649245,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-30 11:30:00,2023-05-01 04:30:00,2023-05-10,2023-05-16,2023-05-24,365,AWARDED
T058,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Mohali,Civil Construction,Community Health Center,Mohali,Himachal Pradesh,15494515,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-31 11:30:00,2023-05-04 04:30:00,2023-05-13,2023-05-16,2023-05-19,90,AWARDED
T059,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Ludhiana,Water & Sanitation,Sewage Treatment Plant,Ludhiana,Himachal Pradesh,108872729,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-03 11:30:00,2023-05-04 04:30:00,2023-05-08,2023-05-13,2023-05-21,540,AWARDED
T060,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Ambala,Electrical & Energy,Substation 33/11kV,Ambala,Himachal Pradesh,10571026,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-04-03 11:30:00,2023-05-07 04:30:00,2023-05-17,2023-05-21,2023-05-28,180,AWARDED
T061,B05,State Health Infrastructure Development Agency,Highway Widening for State Health Infrastructure Development Agency at Panchkula,Road Infrastructure,Highway Widening,Panchkula,Himachal Pradesh,12151781,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-04 11:30:00,2023-05-03 04:30:00,2023-05-09,2023-05-14,2023-05-18,90,AWARDED
T062,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at Dehradun,Civil Construction,District Sports Stadium,Dehradun,Himachal Pradesh,41663907,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-05 11:30:00,2023-05-06 04:30:00,2023-05-15,2023-05-20,2023-05-29,90,AWARDED
T063,B07,Education Engineering Directorate,Lift Irrigation Scheme for Education Engineering Directorate at Haridwar,Water & Sanitation,Lift Irrigation Scheme,Haridwar,Himachal Pradesh,30229390,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-06 11:30:00,2023-05-08 04:30:00,2023-05-18,2023-05-24,2023-05-27,180,AWARDED
T064,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Jaipur,Electrical & Energy,Smart Metering System,Jaipur,Himachal Pradesh,175721784,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-10 11:30:00,2023-05-12 04:30:00,2023-05-17,2023-05-20,2023-05-23,180,AWARDED
T065,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at New Delhi,Road Infrastructure,Rural Road Upgrade,New Delhi,Himachal Pradesh,161169188,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-04-10 11:30:00,2023-05-03 04:30:00,2023-05-07,2023-05-12,2023-05-18,90,AWARDED
T066,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Shimla,Civil Construction,Community Health Center,Shimla,Himachal Pradesh,118745936,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-10 11:30:00,2023-05-06 04:30:00,2023-05-14,2023-05-17,2023-05-24,540,AWARDED
T067,B03,Municipal Corporation Solan - Works Wing,Lift Irrigation Scheme for Municipal Corporation Solan at Solan,Water & Sanitation,Lift Irrigation Scheme,Solan,Himachal Pradesh,103574930,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-12 11:30:00,2023-05-05 04:30:00,2023-05-13,2023-05-16,2023-05-21,540,AWARDED
T068,B04,Rural Development & Panchayati Raj Dept,Smart Metering System for Rural Development & Panchayati Raj Dept at Mandi,Electrical & Energy,Smart Metering System,Mandi,Himachal Pradesh,31403602,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-13 11:30:00,2023-05-08 04:30:00,2023-05-16,2023-05-20,2023-05-29,90,AWARDED
T069,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at Dharamshala,Road Infrastructure,Pavement Overlay,Dharamshala,Himachal Pradesh,147361151,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-14 11:30:00,2023-05-11 04:30:00,2023-05-21,2023-05-25,2023-06-04,240,AWARDED
T070,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Chandigarh,Civil Construction,Govt Senior School,Chandigarh,Himachal Pradesh,35382590,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-17 11:30:00,2023-05-14 04:30:00,2023-05-23,2023-05-26,2023-06-02,90,AWARDED
T071,B07,Education Engineering Directorate,Sewage Treatment Plant for Education Engineering Directorate at Mohali,Water & Sanitation,Sewage Treatment Plant,Mohali,Himachal Pradesh,136677915,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-17 11:30:00,2023-05-09 04:30:00,2023-05-16,2023-05-22,2023-05-27,180,AWARDED
T072,B08,State Electricity Board Ltd (HPSEBL),Substation 33/11kV for State Electricity Board Ltd (HPSEBL) at Ludhiana,Electrical & Energy,Substation 33/11kV,Ludhiana,Himachal Pradesh,146761200,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-18 11:30:00,2023-05-23 04:30:00,2023-06-02,2023-06-05,2023-06-11,365,AWARDED
T073,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Ambala,Road Infrastructure,Pavement Overlay,Ambala,Himachal Pradesh,88670112,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-19 11:30:00,2023-05-13 04:30:00,2023-05-22,2023-05-29,2023-06-06,540,AWARDED
T074,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at Panchkula,Civil Construction,Govt Senior School,Panchkula,Himachal Pradesh,135860688,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-21 11:30:00,2023-05-27 04:30:00,2023-06-03,2023-06-08,2023-06-17,365,AWARDED
T075,B03,Municipal Corporation Solan - Works Wing,Rural Water Supply Pipeline for Municipal Corporation Solan at Dehradun,Water & Sanitation,Rural Water Supply Pipeline,Dehradun,Himachal Pradesh,175799694,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-24 11:30:00,2023-05-24 04:30:00,2023-05-31,2023-06-04,2023-06-12,240,AWARDED
T076,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Haridwar,Electrical & Energy,Substation 33/11kV,Haridwar,Himachal Pradesh,37372797,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-24 11:30:00,2023-05-16 04:30:00,2023-05-23,2023-05-26,2023-06-04,180,AWARDED
T077,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at Jaipur,Road Infrastructure,Pavement Overlay,Jaipur,Himachal Pradesh,75821875,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-25 11:30:00,2023-05-28 04:30:00,2023-06-04,2023-06-11,2023-06-15,180,AWARDED
